platform,country,handle,platform_account_id,name,profile_url,content_categories,followers,average_engagement_rate,source_rank,source_url
Instagram,DE,@toni.kr8s,,Toni Kroos,https://www.instagram.com/toni.kr8s/,Sports Soccer,44600000,1.17%,1,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@m10_official,,Mesut Özil,https://www.instagram.com/m10_official/,Sports Soccer Training,27400000,2.99%,2,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@lena,,lena mantler,https://www.instagram.com/lena/,Entertainment and Music,21100000,0.28%,3,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@mahnaz_afshar,,Mahe Man,https://www.instagram.com/mahnaz_afshar/,Acting and Drama Celebrity Artist,18600000,0.07%,4,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@bastianschweinsteiger,,Bastian Schweinsteiger,https://www.instagram.com/bastianschweinsteiger/,Sports Soccer,17200000,0.22%,5,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@marcinho11,,Marco Reus,https://www.instagram.com/marcinho11/,Sports Soccer,15000000,0.07%,6,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@mrjade,,JΛDE ŞEN,https://www.instagram.com/mrjade/,Finance Business and Finance Producers Celebrities,14100000,1.77%,7,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@esmuellert,,Thomas Müller,https://www.instagram.com/esmuellert/,Sports,14000000,1.25%,8,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@manuelneuer,,Manuel Neuer,https://www.instagram.com/manuelneuer/,Sports Soccer,13200000,1.44%,9,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@thiago6,,Thiago Alcantara,https://www.instagram.com/thiago6/,Sports Soccer,11900000,1.87%,10,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@heidiklum,,Heidi Klum,https://www.instagram.com/heidiklum/,Fashion and Accessories,11800000,0.4%,11,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@sami_khedira6,,Sami Khedira,https://www.instagram.com/sami_khedira6/,Sports,10000000,0.18%,12,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@sanchooo10,,Jadon Sancho,https://www.instagram.com/sanchooo10/,Sports Soccer,9800000,8.19%,13,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@pamela_rf,,Pamela Reif,https://www.instagram.com/pamela_rf/,Beauty and Self Care Food Food and Drink Modeling,9300000,1.24%,14,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@philipplahm,,Philipp Lahm,https://www.instagram.com/philipplahm/,Sports Business and Finance Soccer Entrepreneur,8900000,0.12%,15,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@mario_mm38,,Mario Maurer,https://www.instagram.com/mario_mm38/,Actors Lifestyle,8800000,0.74%,16,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@ilkayguendogan,,Ilkay Gündogan,https://www.instagram.com/ilkayguendogan/,Sports,8700000,3.28%,17,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@youneszarou,,Younes Zarou,https://www.instagram.com/youneszarou/,Romance and Wedding,8500000,2.22%,18,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@leroysane,,Leroy Sané,https://www.instagram.com/leroysane/,Sports Soccer,8200000,1.81%,19,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@mariogotze,,MARIO GÖTZE,https://www.instagram.com/mariogotze/,Sports Soccer,8100000,0.59%,20,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@meryemuzerlimeryem,,meryemuzerlimeryem,https://www.instagram.com/meryemuzerlimeryem/,Acting and Drama Celebrity Actors,7600000,0.83%,21,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@mrsdeutschland_offizielleseite,,Anna Schneider \ Prohodski💍,https://www.instagram.com/mrsdeutschland_offizielleseite/,Fashion,7400000,2.26%,22,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@shirindavid,,barbara (shirin david)avicius,https://www.instagram.com/shirindavid/,Fashion and Accessories Entertainment and Music Music Lifestyle,6600000,2.06%,23,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@kaihavertz29,,Kai Havertz 💥⚽️✌🏼,https://www.instagram.com/kaihavertz29/,Sports Soccer,6200000,5.31%,24,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@paola,,P A O L A M A R I A,https://www.instagram.com/paola/,Beauty and Self Care Video Blogger,5800000,0.24%,25,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@dfb_team,,DFB-Team,https://www.instagram.com/dfb_team/,Sports Entertainment and Music Soccer,5800000,0.83%,26,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@lukaspodolski,,Lukas Podolski,https://www.instagram.com/lukaspodolski/,Food Sports Soccer,5800000,0.18%,27,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
Instagram,DE,@draxlerofficial,,Julian Draxler,https://www.instagram.com/draxlerofficial/,Sports Soccer,5400000,0.96%,28,https://www.kaggle.com/datasets/bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise
